section,text,sub_section,decade
Science and technology,"Science
Francis Crick and James Watson discover the double-helix structure of DNA. Rosalind Franklin contributed to the discovery of the double helix structure.
An immunization vaccine is produced for polio.
The first successful ultrasound test of the heart activity.
CERN is established.
The world's first nuclear power plant is opened in Obninsk near Moscow.
NASA is organized.
The first human cervical cancer cells were cultured outside a body in 1951, from Henrietta Lacks. The cells are known as HeLa cells and are the first and most commonly used immortalised cell line.
First transistor computer, built at the University of Manchester in November 1953.

",Science,1950s
Popular culture,"Music
Popular music in the early 1950s was essentially a continuation of the crooner sound of the previous decade, with less emphasis on the jazz-influenced big band style and more emphasis on a conservative, operatic, symphonic style of music. Frank Sinatra, Tony Bennett, Frankie Laine, Patti Page, Judy Garland, Johnnie Ray, Kay Starr, Perry Como, Bing Crosby, Rosemary Clooney, Dean Martin, Georgia Gibbs, Eddie Fisher, Teresa Brewer, Dinah Shore, Kitty Kallen, Joni James, Peggy Lee, Julie London, Toni Arden, June Valli, Doris Day, Arthur Godfrey, Tennessee Ernie Ford, Guy Mitchell, Nat King Cole, and vocal groups like the Mills Brothers, The Ink Spots, The Four Lads, The Four Aces, The Chordettes, The Fontane Sisters, The Hilltoppers and the Ames Brothers. Jo Stafford's ""You Belong To Me"" was the #1 song of 1952 on the Billboard Top 100 chart.
The middle of the decade saw a change in the popular music landscape as classic pop was swept off the charts by rock-and-roll. Crooners such as Eddie Fisher, Perry Como, and Patti Page, who had dominated the first half of the decade, found their access to the pop charts significantly curtailed by the decade's end.doo-wop entered the pop charts in the 1950s. Its popularity soon spawns the parody ""Who Put the Bomp"".
Rock-n-roll emerged in the mid-1950s with Sam Cooke, Jackie Wilson, Gene Vincent, Chuck Berry, Fats Domino, Little Richard, James Brown, Bo Diddley, Buddy Holly, Bobby Darin, Ritchie Valens, Duane Eddy, Eddie Cochran, Brenda Lee, Bobby Vee, Connie Francis, Johnny Mathis, Neil Sedaka, Pat Boone and Ricky Nelson being notable exponents. In the mid-1950s, Elvis Presley became the leading figure of the newly popular sound of rock and roll with a series of network television appearances and chart-topping records. Chuck Berry, with ""Maybellene"" (1955), ""Roll Over Beethoven"" (1956), ""Rock and Roll Music"" (1957) and ""Johnny B. Goode"" (1958), refined and developed the major elements that made rock and roll distinctive, focusing on teen life and introducing guitar solos and showmanship that would be a major influence on subsequent rock music. Bill Haley, Jerry Lee Lewis, The Everly Brothers, Carl Perkins, Johnny Cash, Conway Twitty, Johnny Horton, and Marty Robbins were Rockabilly musicians. Doo-wop was another popular genre at the time. Popular Doo Wop and Rock-n-Roll bands of the mid to late 1950s include The Platters, The Flamingos, The Dells, The Silhouettes, Frankie Lymon and The Teenagers, Little Anthony and The Imperials, Danny & the Juniors, The Coasters, The Drifters, The Del-Vikings and Dion and the Belmonts.
The new music differed from previous styles in that it was primarily targeted at the teenager market, which became a distinct entity for the first time in the 1950s as growing prosperity meant that young people did not have to grow up as quickly or be expected to support a family. Rock-and-roll proved to be a difficult phenomenon for older Americans to accept and there were widespread accusations of it being a communist-orchestrated scheme to corrupt the youth, although rock and roll was extremely market based and capitalistic.
Jazz stars in the 1950s who came into prominence in their genres called bebop, hard bop, cool jazz and the blues, at this time included Lester Young, Ben Webster, Charlie Parker, Dizzy Gillespie, Miles Davis, John Coltrane, Thelonious Monk, Charles Mingus, Art Tatum, Bill Evans, Ahmad Jamal, Oscar Peterson, Gil Evans, Jerry Mulligan, Cannonball Adderley, Stan Getz, Chet Baker, Dave Brubeck, Art Blakey, Max Roach, the Miles Davis Quintet, the Modern Jazz Quartet, Ella Fitzgerald, Ray Charles, Sarah Vaughan, Dinah Washington, Nina Simone, and Billie Holiday.
The American folk music revival became a phenomenon in the United States in the 1950s to mid-1960s with the initial success of The Weavers who popularized the genre. Their sound, and their broad repertoire of traditional folk material and topical songs inspired other groups such as the Kingston Trio, the Chad Mitchell Trio, The New Christy Minstrels, and the ""collegiate folk"" groups such as The Brothers Four, The Four Freshmen, The Four Preps, and The Highwaymen. All featured tight vocal harmonies and a repertoire at least initially rooted in folk music and topical songs.
On 3 February 1959, a chartered plane transporting the three American rock and roll musicians Buddy Holly, Ritchie Valens and J. P. ""The Big Bopper"" Richardson goes down in foggy conditions near Clear Lake, Iowa, killing all four occupants on board, including pilot Roger Peterson. The tragedy is later termed ""The Day the Music Died"", popularized in Don McLean's 1972 song ""American Pie"". This event, combined with the conscription of Elvis into the US Army, is often taken to mark the point where the era of 1950s rock-and-roll ended.

",Music,1950s
Popular culture,"Television
The 1950s are known as The Golden Age of Television by some people. Sales of TV sets rose tremendously in the 1950s and by 1950 4.4 million families in America had a television set. Americans devoted most of their free time to watching television broadcasts. People spent so much time watching TV, that movie attendance dropped and so did the number of radio listeners. Television revolutionized the way Americans see themselves and the world around them. TV affects all aspects of American culture. ""Television affects what we wear, the music we listen to, what we eat, and the news we receive.""

",Television,1950s
Popular culture,"Film
European cinema experienced a renaissance in the 1950s following the deprivations of World War II. Italian director Federico Fellini won the first foreign language film Academy Award with La Strada and garnered another Academy Award with Nights of Cabiria. In 1955, Swedish director Ingmar Bergman earned a Jury Prize at the Cannes Film Festival with Smiles of a Summer Night and followed the film with masterpieces The Seventh Seal and Wild Strawberries. Jean Cocteau's Orphée, a film central to his Orphic Trilogy, starred Jean Marais and was released in 1950. French director Claude Chabrol's Le Beau Serge is now widely considered the first film of the French New Wave. Notable European film stars of the period include Brigitte Bardot, Sophia Loren, Marcello Mastroianni, Max von Sydow, and Jean-Paul Belmondo.
Japanese cinema reached its zenith with films from director Akira Kurosawa including Rashomon, Ikiru, Seven Samurai, Throne of Blood, and The Hidden Fortress. Other distinguished Japanese directors of the period were Yasujirō Ozu and Kenji Mizoguchi. Russian fantasy director Aleksandr Ptushko's mythological epics Sadko, Ilya Muromets, and Sampo were internationally acclaimed as was Ballad of a Soldier, a 1959 Soviet film directed by Grigory Chukhray.
In Hollywood, the epic Ben-Hur grabbed a record 11 Academy Awards in 1959 and its success gave a new lease of life to motion picture studio MGM.
Beginning in 1953, with Shane and The Robe, widescreen motion pictures became the norm.
The ""Golden Era"" of 3-D cinematography transpired during the 1950s.

",Film,1950s
Popular culture,"Art movements
In the early 1950s Abstract expressionism and artists Jackson Pollock and Willem de Kooning were enormously influential. However, by the late 1950s Color Field painting and Barnett Newman and Mark Rothko's paintings became more in focus to the next generation.
Pop art used the iconography of television, photography, comics, cinema and advertising. With its roots in dadaism, it started to take form towards the end of the 1950s when some European artists started to make the symbols and products of the world of advertising and propaganda the main subject of their artistic work. This return of figurative art, in opposition to the abstract expressionism that dominated the aesthetic scene since the end of World War II was dominated by Great Britain until the early 1960s when Andy Warhol, the most known artist of this movement began to show Pop Art in galleries in the United States.

",Art movements,1950s
Popular culture,"Fashion
The 1950s saw the birth of the teenager and with it rock n roll and youth fashion dominating the fashion industry. In the UK the Teddy boy became both style icons and anti-authoritarian figures. While in America Greasers had a similar social position. Previously teenagers dressed similar to their parents but now a rebellious and different youth style was being developed. this was particularly noticeable in the overtly sexual nature of their dress. men wore tight trousers, leather jackets and emphasis was on slicked, greasy hair.
New ideas meant new designers who had a concept of what was fashion. Fashion started gaining a voice and style when Christian Dior created “The New Look” collection. The 1950s was not only about spending on luxurious brands but also the idea of being comfortable was created. It was a time where resources were available and it was a new type of fashion. Designers were creating collections with different materials such as: taffeta, nylon, rayon, wool and leather that allowed different colors and patterns. People started wearing artificial fibers because it was easier to take care of and it was price effective. It was a time where shopping was part of a lifestyle.
Different designers emerged or made a comeback on the 1950s because as mention before it was a time for fashion and ideas. The most important designers from the time were:
Christian Dior: everything started in 1947 after World War II was over. Christian Dior found that there were a lot of resources in the market. He created the famous and inspirational collection named “The New Look.” This consisted on the idea of creating voluminous dresses that would not only represent wealth but also show power on women. This collection was the first collection to use 80 yards of fabric. He introduced the idea of the hourglass shape for women; wide shoulders, tight waistline and then voluminous full skirts. Dior was a revolutionary and he was the major influence for the next collections. He is known for always developing new ideas and designs, which led to a rapid expansion and becoming worldwide known. He had pressure to create innovative designs for each collection and Dior did manage to provide that to the consumers. He not only made the hourglass shape very famous but he also developed the H-line as well as the A and Y-Lines. Dior was a very important designer, he changed the way fashion was looked on the world but most importantly he reestablished Paris as a fashion capital.Cristobal Balenciaga: Cristobal Balenciaga a Spanish designer who opened his first couture house in 1915. In 1936, he went to Paris in order to avoid the Spanish Civil War, there he had inspiration for his fashion collections. His designs were an inspiration for emerging designers of the time. His legacy is as important as the one from Dior, revolutionaries. He was known for creating sack dresses, heavy volumes and balloon skirts. For him everything started when he worked for Marquesa de Casa Torre who became his patron and main source of inspiration. Marquesa de Casa Torre helped Balenciaga enter the world of couture. His first suit was very dramatic. The suit consisted on cutout and cut-ins the waist over a slim skirt, something not seen before. Balenciaga was a revolutionary designer who was not afraid to cut and let loose because he had everything under control. In the 1950s and 1960s his designs were well known for attention to color and texture. He was creating different silhouettes for women, in 1955 he created the tunic, 1957 the sack dress and 1958 the Empire styles. He was known for moving from tailored designs to shapeless allowing him to show portion and balance on the bodies. Showing that his designs evolved with time and maintained his ideologies.
Coco Chanel: Her style was well known over the world and her idea of having functional luxurious clothing influenced other designers from the era. Chanel believed that luxurious should come from being comfortable that is why her designers were so unique and different from the time period, she also achieved her looks by adding accessories such as pearl necklaces. Chanel believed that even though Dior designs were revolutionary for the time period they did not managed to represent the women of the time. She believed women had to wear something to represent their survival to another war and their active roles in society. Coming back from a closed house of fashion was not easy for Chanel and competing against younger designers. The Chanel suit was known as a status symbol for wealthy and powerful women. Chanel influenced over the years and her brand is still one of the most influential brands for fashion.

",Fashion,1950s
Popular culture,"Sports
Inaugural season of Formula One

Olympics
1952 Summer Olympics held in Helsinki, Finland
1952 Winter Olympics held in Oslo, Norway
1956 Summer Olympics held in Melbourne, Australia
1956 Winter Olympics held in Cortina d'Ampezzo, Italy

FIFA World Cups
1950 World Cup hosted by Brazil, won by Uruguay
1954 World Cup hosted by Switzerland, won by West Germany
1958 World Cup hosted by Sweden, won by BrazilThe 1958 World Cup is notable for marking the debut on the world stage of a then largely unknown 17-year-old Pelé.

",Sports,1950s
Popular culture,"Olympics
1952 Summer Olympics held in Helsinki, Finland
1952 Winter Olympics held in Oslo, Norway
1956 Summer Olympics held in Melbourne, Australia
1956 Winter Olympics held in Cortina d'Ampezzo, Italy

",Olympics,1950s
Popular culture,"FIFA World Cups
1950 World Cup hosted by Brazil, won by Uruguay
1954 World Cup hosted by Switzerland, won by West Germany
1958 World Cup hosted by Sweden, won by BrazilThe 1958 World Cup is notable for marking the debut on the world stage of a then largely unknown 17-year-old Pelé.

",FIFA World Cups,1950s
People,"World leaders
1950 – 1951 – 1952 – 1953 – 1954 – 1955 – 1956 – 1957 – 1958 – 1959

",World leaders,1950s
People,"Politics
Aleksey Innokentevich Antonov, Chief of General Staff of the Unified Armed Forces Warsaw Treaty Organization
Eugene R. Black, President World Bank
William Sterling Cole, Director-general International Atomic Energy Agency
Manuel Fraga Iribarne, Secretary-general Latin Union
André François-Poncet, Chairman of the Standing Commission International Red Cross and Red Crescent Movement
Louis Goffin, Secretary-general Western European Union
Walter Hallstein, President of the European Commission
Fritz Hess, Director Universal Postal Union
Ivan Stepanovich Konev, Commander-in-chief of the Unified Armed Forces Warsaw Treaty Organization
Henri St. Leger, Secretary-general International Organization for Standardization
Robert C. Lonati, Secretary-general World Tourism Organization
David A. Morse, Director-general International Labour Organization
Arnold Duncan McNair, Baron McNair, President of the European Court of Human Rights
Ove Nielsen, Secretary-general International Maritime Organization
Maurice Pate, Executive Director United Nations Children's Fund
Robert Schuman, President of the European Parliamentary Assembly
Gustav Swoboda, Chief of the Secretariat World Meteorological Organization
José Guillermo Trabanino Guerrero, Secretary-general Organization of Central American States
Eric Wyndham White, Executive Secretary World Trade Organization

",Politics,1950s
People,"Actors / Entertainers
",Actors / Entertainers,1950s
People,"Filmmakers
",Filmmakers,1950s
People,"Musicians
",Musicians,1950s
People,"Bands
",Bands,1950s
People,"Sports figures
",Sports figures,1950s
See also,"Timeline
The following articles contain brief timelines which list the most prominent events of the decade:
1950 • 1951 • 1952 • 1953 • 1954 • 1955 • 1956 • 1957 • 1958 • 1959

",Timeline,1950s
Politics and wars,"Wars
The Cold War (1947–1991)
The Vietnam War (1955–1975)
1961 – Substantial (approximately 700) American advisory forces first arrive in Vietnam.
1962 – By mid-1962, the number of U.S. military advisers in South Vietnam had risen from 900 to 12,000.
1963 – By the time of U.S. President John F. Kennedy's death there were 16,000 American military personnel in South Vietnam, up from Eisenhower's 900 advisors to cope with rising guerrilla activity in Vietnam.
1964 – In direct response to the minor naval engagement known as the Gulf of Tonkin incident which occurred on 2 August 1964, the Gulf of Tonkin Resolution, a joint resolution of the U.S. Congress, was passed on 10 August 1964. The resolution gave U.S. President Lyndon B. Johnson authorization, without a formal declaration of war by Congress, for the use of military force in Southeast Asia. The Johnson administration subsequently cited the resolution as legal authority for its rapid escalation of U.S. military involvement in the Vietnam War.
1966 – After 1966, with the draft in place more than 500,000 troops were sent to Vietnam by the Johnson administration and college attendance soars.
The Bay of Pigs Invasion (1961) – an unsuccessful attempt by a CIA-trained force of Cuban exiles to invade southern Cuba with support from U.S. government armed forces, to overthrow the Cuban government of Fidel Castro.
Portuguese Colonial War (1961–1974) – the war was fought between Portugal's military and the emerging nationalist movements in Portugal's African colonies. It was a decisive ideological struggle and armed conflict of the cold war in African (Portuguese Africa and surrounding nations) and European (mainland Portugal) scenarios. Unlike other European nations, the Portuguese regime did not leave its African colonies, or the overseas provinces, during the 1950s and 1960s. During the 1960s, various armed independence movements, most prominently led by communist-led parties who cooperated under the CONCP umbrella and pro-U.S. groups, became active in these areas, most notably in Angola, Mozambique, and Portuguese Guinea. During the war, several atrocities were committed by all forces involved in the conflict.
The Indo-Pakistani War of 1965 began in September.
Arab–Israeli conflict (early-20th century-present)
Six-Day War (June 1967) – a war between Israel and the neighboring states of Egypt, Jordan, and Syria. The Arab states of Iraq, Saudi Arabia, Sudan, Tunisia, Morocco and Algeria also contributed troops and arms. At the war's end, Israel had gained control of the Sinai Peninsula, the Gaza Strip, the West Bank, East Jerusalem, and the Golan Heights. The results of the war affect the geopolitics of the region to this day.
The Algerian War came to a close in 1962.
The Nigeria Civil War began in 1967.
Civil wars in Laos and Sudan rage on throughout the decade.
The Al-Wadiah War was a military conflict which broke out on 27 November 1969 between Saudi Arabia and the People's Republic of South Yemen.

",Wars,1960s
Politics and wars,"Internal conflicts
Cultural Revolution in China (1966–1976) – a period of widespread social and political upheaval in the People's Republic of China which was launched by Mao Zedong, the chairman of the Communist Party of China. Mao alleged that ""liberal bourgeois"" elements were permeating the party and society at large and that they wanted to restore capitalism. Mao insisted that these elements be removed through post-revolutionary class struggle by mobilizing the thoughts and actions of China's youth, who formed Red Guards groups around the country. The movement subsequently spread into the military, urban workers, and the party leadership itself. Although Mao himself officially declared the Cultural Revolution to have ended in 1969, the power struggles and political instability between 1969 and the arrest of the Gang of Four in 1976 are now also widely regarded as part of the Revolution.
The Naxalite movement in India began in 1967 with an armed uprising of tribals against local landlords in the village of Naxalbari, West Bengal, led by certain leaders of the Communist Party of India (Marxist). The movement was influenced by Mao Zedong's ideology and spread to many tribal districts in Eastern India, gaining strong support among the radical urban youth. After counter-insurgency operations by the police, military and paramilitary forces, the movement fragmented but is still active in many districts.
The Troubles in Northern Ireland began with the rise of the Northern Ireland civil rights movement in the mid-1960s, the conflict continued into the later 1990s.
The Compton's Cafeteria Riot occurred in August 1966 in the Tenderloin district of San Francisco. This incident was one of the first recorded transgender riots in United States history, preceding the more famous 1969 Stonewall Riots in New York City by three years.
The Stonewall riots occurred in June 1969 in New York City. The Stonewall riots were a series of spontaneous, violent demonstrations against a police raid that took place in the Stonewall Inn, in the Greenwich Village neighborhood of New York City. They are frequently cited as the first instance in American history when people in the homosexual community fought back against a government-sponsored system that persecuted sexual minorities, and they have become the defining event that marked the start of the gay rights movement in the United States and around the world.
In 1967, the National Farmers Organization withheld milk supplies for 15 days as part of an effort to induce a quota system to stabilize prices.
The May 1968 student and worker uprisings in France.
Mass socialist or Communist movement in most European countries (particularly France and Italy), with which the student-based new left was able to forge a connection. The most spectacular manifestation of this was the May student revolt of 1968 in Paris that linked up with a general strike of ten million workers called by the trade unions; and for a few days seemed capable of overthrowing the government of Charles de Gaulle. De Gaulle went off to visit French troops in Germany to check on their loyalty. Major concessions were won for trade union rights, higher minimum wages and better working conditions.
University students protested in the hundreds of thousands against the Vietnam War in London, Paris, Berlin and Rome.
In Eastern Europe students also drew inspiration from the protests in the West. In Poland and Yugoslavia they protested against restrictions on free speech by communist regimes.
The Tlatelolco massacre – was a government massacre of student and civilian protesters and bystanders that took place during the afternoon and night of 2 October 1968, in the Plaza de las Tres Culturas in the Tlatelolco section of Mexico City.

",Internal conflicts,1960s
Politics and wars,"Coups
Prominent coups d'état of the decade included:

On 27 May 1960, a coup in Turkey led by Cemal Gürsel and Cemal Madanoğlu overthrew the government of Adnan Menderes.
On 16 May 1961, a coup in South Korea led by army officer Park Chung-hee made the establishment of temporary military rule.
In 1963, a coup in South Viet Nam leads to the death of President Ngô Đình Diệm and the establishment of temporary military rule.
On 21 April 1967, in Greece a group of colonels established a military dictatorship for seven years.
In 1968, a coup in Iraq led to the overthrow of Abdul Rahman Arif by the Arab Socialist Baath Party.
On 1 September 1969, a small group of military officers led by the army officer Muammar Gaddafi overthrows monarchy in Libya.

",Coups,1960s
Politics and wars,"Nuclear threats
The Cuban Missile Crisis (16–28 October 1962) – a near-military confrontation between the U.S. and the Soviet Union about the presence of Soviet missiles in Cuba. After an American Naval (quarantine) blockade of Cuba the Soviet Union under the leadership of Nikita Khrushchev agreed to remove their missiles from Cuba in exchange for the U.S. removing its missiles from Turkey.
On 13 February 1960, France detonated its first atomic bomb. France possessed a hydrogen bomb by 1968.
On 16 October 1964, China detonated its first atomic bomb. China possessed a hydrogen bomb by 1967.

",Nuclear threats,1960s
Politics and wars,"Decolonization and independence
The transformation of Africa from colonialism to independence in what is known as the decolonisation of Africa dramatically accelerated during the decade, with 32 countries gaining independence between 1960 and 1968, marking the end of the European empires that once dominated the African continent. However, the noble aspirations of these new nations quickly faded, and many states descended into anarchy, kleptocracy, dictatorships, and/or civil war. The road to prosperity has been difficult: As of 2011, by many measures Africa continues to possess the poorest population in the world as well as the lowest life expectancy.

",Decolonization and independence,1960s
Politics and wars,"Prominent political events
North America
United States
1960 – 1960 United States presidential election – The very close campaign was the series of four Kennedy–Nixon debates; they were the first presidential debates held on television. Kennedy won a close election.
1961 – President John F. Kennedy promised some more aggressive confrontation with the Soviet Union; he also established the Peace Corps.
1963 - Betty Friedan published the book The Feminine Mystique, reawakening the feminist movement and being largely responsible for its second wave.
1963 – Civil rights becomes a central issue, as the Birmingham campaign and Birmingham riot lead to President Kennedy's Civil Rights Address, Martin Luther King Jr.'s ""I Have a Dream"" speech at the March on Washington, and the 16th Street Baptist Church Bombing
1963 – Kennedy was assassinated and replaced by Vice President Lyndon Johnson. The nation was in shock. For the next half-century, conspiracy theorists concocted numerous alternative explanations to the official report that a lone gunman killed Kennedy.
1964 –  Johnson pressed for civil rights legislation. Civil Rights Act of 1964 signed into law by President Lyndon B. Johnson. This landmark piece of legislation in the United States outlawed racial segregation in schools, public places, and employment. The first black riots erupt in major cities.
1964 – Johnson was reelected over Conservative spokesman Senator Barry Goldwater by wide landslide; Liberals gained full control of Congress.
1964 – Wilderness Act signed into law by President Lyndon B. Johnson on 3 September.
1965 – After the events of the Selma to Montgomery marches the National Voting Rights Act of 1965 was lobbied for, and then signed into law, by President Lyndon B. Johnson. The Voting Rights Act outlawed discriminatory voting practices that had caused the widespread disenfranchisement of African Americans in the United States.
1968 – U.S. President Richard M. Nixon was elected defeating Vice President Hubert H. Humphrey in November.
1969 – U.S. President Richard Nixon was inaugurated in January 1969; promised ""peace with honor"" to end the Vietnam War.

Canada
The Quiet Revolution in Quebec altered the province-city-state into a more secular society.  The Jean Lesage Liberal government created a welfare state État-Providence and fomented the rise of active nationalism among Francophone French-speaking Quebecer|Québécois.
On 15 February 1965, the new Flag of Canada was adopted in Canada, after much anticipated debate known as the Great Canadian Flag Debate.
In 1960, the Canadian Bill of Rights becomes law, and suffrage, and the right for any Canadian citizen to vote, was finally adopted by John Diefenbaker's Progressive Conservative government.  The new election act allowed First Nations people to vote for the first time.

Mexico
The student and New Left protests in 1968 coincided with political upheavals in a number of other countries. Although these events often sprung from completely different causes, they were influenced by reports and images of what was happening in the United States and France.

Europe
British Prime Minister Harold Macmillan delivered his ""Wind of Change"" speech in 1960.
Construction of the Berlin Wall 1961 to prevent East Germans from escaping to the West.
Pope John XXIII calls the Second Vatican Council of the Catholic Church, continued by Pope Paul VI, which met from 11 October 1962, until 8 December 1965.
In October 1964, Soviet leader Nikita Khrushchev was expelled from office due to his increasingly erratic and authoritarian behavior. Leonid Brezhnev and Alexei Kosygin then became the new leaders of the Soviet Union.
In Czechoslovakia, 1968 was the year of Alexander Dubček's Prague Spring, a source of inspiration to many Western leftists who admired Dubček's ""socialism with a human face"". The Soviet invasion of Czechoslovakia in August ended these hopes and also fatally damaged the chances of the orthodox communist parties drawing many recruits from the student protest movement.

Asia
China
Relations with the United States remained hostile during the 1960s, although representatives from both countries held periodic meetings in Warsaw, Poland (since there was no U.S. embassy in China). President Kennedy had plans to restore Sino-US relations, but his assassination, the war in Vietnam, and the Cultural Revolution put an end to that. Not until Richard Nixon took office in 1969 was there another opportunity.
Following Soviet leader Nikita Khrushchev's expulsion in 1964, Sino-Soviet relations devolved into open hostility. The Chinese were deeply disturbed by the Soviet suppression of the Prague Spring in 1968, as the latter now claimed the right to intervene in any country it saw as deviating from the correct path of socialism. Finally, in March 1969, armed clashes took place along the Sino-Soviet border in Manchuria. This drove the Chinese to restore relations with the U.S., as Mao Zedong decided that the Soviet Union was a much greater threat against them.

India
In India a literary and cultural movement started in Calcutta, Patna, and other cities by a group of writers and painters who called themselves ""Hungryalists"", or members of the Hungry generation. The band of writers wanted to change virtually everything and were arrested with several cases filed against them on various charges. They ultimately won these cases.

Africa
On 1 September 1969, the Libyan monarchy was overthrown, and a radical, revolutionary, government headed by Col. Muammar al-Gadaffi took power.

South America
In 1964, a successful coup against the democratically elected government of Brazilian president João Goulart, initiated a military dictatorship that caused over 20 years of oppression.
The Argentine revolutionary Ernesto ""Che"" Guevara travelled to Africa and then Bolivia in his campaigning to spread worldwide revolution. He was captured and executed in 1967 by the Bolivian army, and afterwards became an iconic figure for the left wing around the world.
Juan Velasco Alvarado took power by a coup in Peru in 1968.

",Prominent political events,1960s
Politics and wars,"North America
United States
1960 – 1960 United States presidential election – The very close campaign was the series of four Kennedy–Nixon debates; they were the first presidential debates held on television. Kennedy won a close election.
1961 – President John F. Kennedy promised some more aggressive confrontation with the Soviet Union; he also established the Peace Corps.
1963 - Betty Friedan published the book The Feminine Mystique, reawakening the feminist movement and being largely responsible for its second wave.
1963 – Civil rights becomes a central issue, as the Birmingham campaign and Birmingham riot lead to President Kennedy's Civil Rights Address, Martin Luther King Jr.'s ""I Have a Dream"" speech at the March on Washington, and the 16th Street Baptist Church Bombing
1963 – Kennedy was assassinated and replaced by Vice President Lyndon Johnson. The nation was in shock. For the next half-century, conspiracy theorists concocted numerous alternative explanations to the official report that a lone gunman killed Kennedy.
1964 –  Johnson pressed for civil rights legislation. Civil Rights Act of 1964 signed into law by President Lyndon B. Johnson. This landmark piece of legislation in the United States outlawed racial segregation in schools, public places, and employment. The first black riots erupt in major cities.
1964 – Johnson was reelected over Conservative spokesman Senator Barry Goldwater by wide landslide; Liberals gained full control of Congress.
1964 – Wilderness Act signed into law by President Lyndon B. Johnson on 3 September.
1965 – After the events of the Selma to Montgomery marches the National Voting Rights Act of 1965 was lobbied for, and then signed into law, by President Lyndon B. Johnson. The Voting Rights Act outlawed discriminatory voting practices that had caused the widespread disenfranchisement of African Americans in the United States.
1968 – U.S. President Richard M. Nixon was elected defeating Vice President Hubert H. Humphrey in November.
1969 – U.S. President Richard Nixon was inaugurated in January 1969; promised ""peace with honor"" to end the Vietnam War.

Canada
The Quiet Revolution in Quebec altered the province-city-state into a more secular society.  The Jean Lesage Liberal government created a welfare state État-Providence and fomented the rise of active nationalism among Francophone French-speaking Quebecer|Québécois.
On 15 February 1965, the new Flag of Canada was adopted in Canada, after much anticipated debate known as the Great Canadian Flag Debate.
In 1960, the Canadian Bill of Rights becomes law, and suffrage, and the right for any Canadian citizen to vote, was finally adopted by John Diefenbaker's Progressive Conservative government.  The new election act allowed First Nations people to vote for the first time.

Mexico
The student and New Left protests in 1968 coincided with political upheavals in a number of other countries. Although these events often sprung from completely different causes, they were influenced by reports and images of what was happening in the United States and France.

",North America,1960s
Politics and wars,"United States
1960 – 1960 United States presidential election – The very close campaign was the series of four Kennedy–Nixon debates; they were the first presidential debates held on television. Kennedy won a close election.
1961 – President John F. Kennedy promised some more aggressive confrontation with the Soviet Union; he also established the Peace Corps.
1963 - Betty Friedan published the book The Feminine Mystique, reawakening the feminist movement and being largely responsible for its second wave.
1963 – Civil rights becomes a central issue, as the Birmingham campaign and Birmingham riot lead to President Kennedy's Civil Rights Address, Martin Luther King Jr.'s ""I Have a Dream"" speech at the March on Washington, and the 16th Street Baptist Church Bombing
1963 – Kennedy was assassinated and replaced by Vice President Lyndon Johnson. The nation was in shock. For the next half-century, conspiracy theorists concocted numerous alternative explanations to the official report that a lone gunman killed Kennedy.
1964 –  Johnson pressed for civil rights legislation. Civil Rights Act of 1964 signed into law by President Lyndon B. Johnson. This landmark piece of legislation in the United States outlawed racial segregation in schools, public places, and employment. The first black riots erupt in major cities.
1964 – Johnson was reelected over Conservative spokesman Senator Barry Goldwater by wide landslide; Liberals gained full control of Congress.
1964 – Wilderness Act signed into law by President Lyndon B. Johnson on 3 September.
1965 – After the events of the Selma to Montgomery marches the National Voting Rights Act of 1965 was lobbied for, and then signed into law, by President Lyndon B. Johnson. The Voting Rights Act outlawed discriminatory voting practices that had caused the widespread disenfranchisement of African Americans in the United States.
1968 – U.S. President Richard M. Nixon was elected defeating Vice President Hubert H. Humphrey in November.
1969 – U.S. President Richard Nixon was inaugurated in January 1969; promised ""peace with honor"" to end the Vietnam War.

",United States,1960s
Politics and wars,"Canada
The Quiet Revolution in Quebec altered the province-city-state into a more secular society.  The Jean Lesage Liberal government created a welfare state État-Providence and fomented the rise of active nationalism among Francophone French-speaking Quebecer|Québécois.
On 15 February 1965, the new Flag of Canada was adopted in Canada, after much anticipated debate known as the Great Canadian Flag Debate.
In 1960, the Canadian Bill of Rights becomes law, and suffrage, and the right for any Canadian citizen to vote, was finally adopted by John Diefenbaker's Progressive Conservative government.  The new election act allowed First Nations people to vote for the first time.

",Canada,1960s
Politics and wars,"Mexico
The student and New Left protests in 1968 coincided with political upheavals in a number of other countries. Although these events often sprung from completely different causes, they were influenced by reports and images of what was happening in the United States and France.

",Mexico,1960s
Politics and wars,"Europe
British Prime Minister Harold Macmillan delivered his ""Wind of Change"" speech in 1960.
Construction of the Berlin Wall 1961 to prevent East Germans from escaping to the West.
Pope John XXIII calls the Second Vatican Council of the Catholic Church, continued by Pope Paul VI, which met from 11 October 1962, until 8 December 1965.
In October 1964, Soviet leader Nikita Khrushchev was expelled from office due to his increasingly erratic and authoritarian behavior. Leonid Brezhnev and Alexei Kosygin then became the new leaders of the Soviet Union.
In Czechoslovakia, 1968 was the year of Alexander Dubček's Prague Spring, a source of inspiration to many Western leftists who admired Dubček's ""socialism with a human face"". The Soviet invasion of Czechoslovakia in August ended these hopes and also fatally damaged the chances of the orthodox communist parties drawing many recruits from the student protest movement.

",Europe,1960s
